MAPPO update 75/4882 | env_steps=153,600 | return=-55.553 | actor_loss=-0.0251 | value_loss=0.5381 | entropy=1.1992
MAPPO update 76/4882 | env_steps=155,648 | return=-60.513 | actor_loss=-0.0293 | value_loss=0.5675 | entropy=1.1883
MAPPO update 77/4882 | env_steps=157,696 | return=-61.944 | actor_loss=-0.0301 | value_loss=0.5527 | entropy=1.1767
MAPPO update 78/4882 | env_steps=159,744 | return=-55.554 | actor_loss=-0.0277 | value_loss=0.5794 | entropy=1.1418
MAPPO update 79/4882 | env_steps=161,792 | return=-56.901 | actor_loss=-0.0296 | value_loss=0.5095 | entropy=1.1682
MAPPO update 80/4882 | env_steps=163,840 | return=-67.153 | actor_loss=-0.0263 | value_loss=0.6799 | entropy=1.1462
MAPPO update 81/4882 | env_steps=165,888 | return=-63.605 | actor_loss=-0.0268 | value_loss=0.5120 | entropy=1.1471
MAPPO update 82/4882 | env_steps=167,936 | return=-65.571 | actor_loss=-0.0252 | value_loss=0.6184 | entropy=1.1385
MAPPO update 83/4882 | env_steps=169,984 | return=-61.211 | actor_loss=-0.0277 | value_loss=0.5753 | entropy=1.1166
MAPPO update 84/4882 | env_steps=172,032 | return=-54.461 | actor_loss=-0.0270 | value_loss=0.5202 | entropy=1.1347
MAPPO update 85/4882 | env_steps=174,080 | return=-69.695 | actor_loss=-0.0281 | value_loss=0.3976 | entropy=1.1065
MAPPO update 86/4882 | env_steps=176,128 | return=-50.831 | actor_loss=-0.0267 | value_loss=0.6442 | entropy=1.1043
MAPPO update 87/4882 | env_steps=178,176 | return=-59.261 | actor_loss=-0.0258 | value_loss=0.6056 | entropy=1.1013
MAPPO update 88/4882 | env_steps=180,224 | return=-51.912 | actor_loss=-0.0278 | value_loss=0.4061 | entropy=1.1224
MAPPO update 89/4882 | env_steps=182,272 | return=-67.559 | actor_loss=-0.0287 | value_loss=0.6128 | entropy=1.1255
MAPPO update 90/4882 | env_steps=184,320 | return=-55.015 | actor_loss=-0.0286 | value_loss=0.5298 | entropy=1.1563
MAPPO update 91/4882 | env_steps=186,368 | return=-55.022 | actor_loss=-0.0290 | value_loss=0.6962 | entropy=1.1763
MAPPO update 92/4882 | env_steps=188,416 | return=-59.812 | actor_loss=-0.0272 | value_loss=0.4563 | entropy=1.1490
MAPPO update 93/4882 | env_steps=190,464 | return=-53.907 | actor_loss=-0.0293 | value_loss=0.4387 | entropy=1.1532
MAPPO update 94/4882 | env_steps=192,512 | return=-59.696 | actor_loss=-0.0292 | value_loss=0.5672 | entropy=1.1484
MAPPO update 95/4882 | env_steps=194,560 | return=-60.019 | actor_loss=-0.0303 | value_loss=0.5162 | entropy=1.1162
MAPPO update 96/4882 | env_steps=196,608 | return=-57.587 | actor_loss=-0.0308 | value_loss=0.7295 | entropy=1.1236
MAPPO update 97/4882 | env_steps=198,656 | return=-51.174 | actor_loss=-0.0277 | value_loss=0.4475 | entropy=1.1195
MAPPO update 98/4882 | env_steps=200,704 | return=-61.301 | actor_loss=-0.0248 | value_loss=0.4845 | entropy=1.1285
MAPPO update 99/4882 | env_steps=202,752 | return=-60.716 | actor_loss=-0.0291 | value_loss=0.4807 | entropy=1.1078
MAPPO update 100/4882 | env_steps=204,800 | return=-62.688 | actor_loss=-0.0308 | value_loss=0.4727 | entropy=1.1299
MAPPO update 101/4882 | env_steps=206,848 | return=-58.070 | actor_loss=-0.0303 | value_loss=0.7211 | entropy=1.1251
MAPPO update 102/4882 | env_steps=208,896 | return=-56.547 | actor_loss=-0.0299 | value_loss=0.5531 | entropy=1.1609
MAPPO update 103/4882 | env_steps=210,944 | return=-56.291 | actor_loss=-0.0250 | value_loss=0.4579 | entropy=1.1506
MAPPO update 104/4882 | env_steps=212,992 | return=-53.722 | actor_loss=-0.0289 | value_loss=0.5851 | entropy=1.1480
MAPPO update 105/4882 | env_steps=215,040 | return=-61.553 | actor_loss=-0.0280 | value_loss=0.5442 | entropy=1.1307
MAPPO update 106/4882 | env_steps=217,088 | return=-58.503 | actor_loss=-0.0295 | value_loss=0.5027 | entropy=1.1327
MAPPO update 107/4882 | env_steps=219,136 | return=-55.441 | actor_loss=-0.0304 | value_loss=0.6640 | entropy=1.1148
MAPPO update 108/4882 | env_steps=221,184 | return=-54.309 | actor_loss=-0.0300 | value_loss=0.5173 | entropy=1.1473
MAPPO update 109/4882 | env_steps=223,232 | return=-57.345 | actor_loss=-0.0314 | value_loss=0.7178 | entropy=1.1263
MAPPO update 110/4882 | env_steps=225,280 | return=-56.611 | actor_loss=-0.0291 | value_loss=0.3778 | entropy=1.1296
MAPPO update 111/4882 | env_steps=227,328 | return=-59.119 | actor_loss=-0.0315 | value_loss=0.4561 | entropy=1.1459
MAPPO update 112/4882 | env_steps=229,376 | return=-63.995 | actor_loss=-0.0323 | value_loss=0.6117 | entropy=1.1604
MAPPO update 113/4882 | env_steps=231,424 | return=-59.560 | actor_loss=-0.0315 | value_loss=0.6576 | entropy=1.1389
MAPPO update 114/4882 | env_steps=233,472 | return=-59.585 | actor_loss=-0.0306 | value_loss=0.5415 | entropy=1.1311
MAPPO update 115/4882 | env_steps=235,520 | return=-62.754 | actor_loss=-0.0304 | value_loss=0.5924 | entropy=1.1345
MAPPO update 116/4882 | env_steps=237,568 | return=-65.548 | actor_loss=-0.0289 | value_loss=0.6138 | entropy=1.1255
MAPPO update 117/4882 | env_steps=239,616 | return=-64.298 | actor_loss=-0.0312 | value_loss=0.5271 | entropy=1.1419
MAPPO update 118/4882 | env_steps=241,664 | return=-56.515 | actor_loss=-0.0313 | value_loss=0.6948 | entropy=1.1146
MAPPO update 119/4882 | env_steps=243,712 | return=-62.427 | actor_loss=-0.0305 | value_loss=0.5195 | entropy=1.1163
MAPPO update 120/4882 | env_steps=245,760 | return=-57.753 | actor_loss=-0.0324 | value_loss=0.6242 | entropy=1.1260
MAPPO update 121/4882 | env_steps=247,808 | return=-53.716 | actor_loss=-0.0306 | value_loss=0.4716 | entropy=1.1011
MAPPO update 122/4882 | env_steps=249,856 | return=-65.642 | actor_loss=-0.0316 | value_loss=0.5722 | entropy=1.1200
MAPPO update 123/4882 | env_steps=251,904 | return=-50.476 | actor_loss=-0.0322 | value_loss=0.3803 | entropy=1.0780
MAPPO update 124/4882 | env_steps=253,952 | return=-64.063 | actor_loss=-0.0321 | value_loss=0.4453 | entropy=1.1063
MAPPO update 125/4882 | env_steps=256,000 | return=-61.975 | actor_loss=-0.0320 | value_loss=0.4370 | entropy=1.1175
MAPPO update 126/4882 | env_steps=258,048 | return=-59.479 | actor_loss=-0.0347 | value_loss=0.3967 | entropy=1.1328
MAPPO update 127/4882 | env_steps=260,096 | return=-56.311 | actor_loss=-0.0289 | value_loss=0.4735 | entropy=1.0976
MAPPO update 128/4882 | env_steps=262,144 | return=-56.391 | actor_loss=-0.0308 | value_loss=0.4787 | entropy=1.0767
MAPPO update 129/4882 | env_steps=264,192 | return=-57.716 | actor_loss=-0.0318 | value_loss=0.3982 | entropy=1.0893
MAPPO update 130/4882 | env_steps=266,240 | return=-66.941 | actor_loss=-0.0307 | value_loss=0.7492 | entropy=1.0878
MAPPO update 131/4882 | env_steps=268,288 | return=-55.470 | actor_loss=-0.0319 | value_loss=0.4481 | entropy=1.0933
MAPPO update 132/4882 | env_steps=270,336 | return=-55.639 | actor_loss=-0.0319 | value_loss=0.4785 | entropy=1.0790
MAPPO update 133/4882 | env_steps=272,384 | return=-51.144 | actor_loss=-0.0286 | value_loss=0.7898 | entropy=1.1080
MAPPO update 134/4882 | env_steps=274,432 | return=-62.068 | actor_loss=-0.0283 | value_loss=0.5806 | entropy=1.1113
MAPPO update 135/4882 | env_steps=276,480 | return=-59.232 | actor_loss=-0.0312 | value_loss=0.5215 | entropy=1.1263
MAPPO update 136/4882 | env_steps=278,528 | return=-55.134 | actor_loss=-0.0320 | value_loss=0.4904 | entropy=1.1536
MAPPO update 137/4882 | env_steps=280,576 | return=-64.343 | actor_loss=-0.0356 | value_loss=0.5363 | entropy=1.1215
MAPPO update 138/4882 | env_steps=282,624 | return=-58.754 | actor_loss=-0.0330 | value_loss=0.4032 | entropy=1.1184
MAPPO update 139/4882 | env_steps=284,672 | return=-53.100 | actor_loss=-0.0336 | value_loss=0.3631 | entropy=1.1163
MAPPO update 140/4882 | env_steps=286,720 | return=-55.173 | actor_loss=-0.0309 | value_loss=0.3580 | entropy=1.1208
MAPPO update 141/4882 | env_steps=288,768 | return=-59.846 | actor_loss=-0.0322 | value_loss=0.4831 | entropy=1.1155
MAPPO update 142/4882 | env_steps=290,816 | return=-58.429 | actor_loss=-0.0326 | value_loss=0.4327 | entropy=1.0929
MAPPO update 143/4882 | env_steps=292,864 | return=-57.598 | actor_loss=-0.0332 | value_loss=0.4488 | entropy=1.1007
MAPPO update 144/4882 | env_steps=294,912 | return=-52.447 | actor_loss=-0.0326 | value_loss=0.6490 | entropy=1.0910
MAPPO update 145/4882 | env_steps=296,960 | return=-56.679 | actor_loss=-0.0303 | value_loss=0.5152 | entropy=1.0712
MAPPO update 146/4882 | env_steps=299,008 | return=-63.518 | actor_loss=-0.0302 | value_loss=0.5510 | entropy=1.0720
MAPPO update 147/4882 | env_steps=301,056 | return=-57.256 | actor_loss=-0.0291 | value_loss=0.4702 | entropy=1.0461
MAPPO update 148/4882 | env_steps=303,104 | return=-59.780 | actor_loss=-0.0306 | value_loss=0.4907 | entropy=1.0504
MAPPO update 149/4882 | env_steps=305,152 | return=-55.206 | actor_loss=-0.0268 | value_loss=0.3871 | entropy=1.0560
MAPPO update 150/4882 | env_steps=307,200 | return=-53.623 | actor_loss=-0.0306 | value_loss=0.3815 | entropy=1.0486
MAPPO update 151/4882 | env_steps=309,248 | return=-57.746 | actor_loss=-0.0265 | value_loss=0.4480 | entropy=1.0267
MAPPO update 152/4882 | env_steps=311,296 | return=-61.632 | actor_loss=-0.0296 | value_loss=0.4668 | entropy=1.0273
MAPPO update 153/4882 | env_steps=313,344 | return=-53.235 | actor_loss=-0.0302 | value_loss=0.4339 | entropy=1.0162
MAPPO update 154/4882 | env_steps=315,392 | return=-56.426 | actor_loss=-0.0313 | value_loss=0.3896 | entropy=1.0100
